,D,Dmin,Dmax,N_dpts,N_npts,Nmin,Nmax,T,T_fridge,T_probe,Bmin,Bmax,N_bpts
1831,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.10089636787737,32.811699433522165,,,
1832,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.07084971676108,32.76267577474175,,,
1833,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.050459846717757,32.73599133622127,,,
1834,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.027320893035654,32.7269943352216,,,
1835,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.013138953682105,32.69706097967344,,,
1836,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.017417527490842,32.71473175608131,,,
1837,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.055388203932026,32.77432189270243,,,
1838,0.013147413670742344,0.013147413670742344,0.013147413670742344,(),(),0.8071760079534539,0.8071760079534539,,28.152554890219562,33.347504990019964,,,
1839,0.1370623720015411,0.1370623720015411,0.1370623720015411,(),(),8.009994998452186,8.009994998452186,,28.243914354644154,33.697593486127865,,,
1840,0.9952349781689457,0.9951133459733648,0.9953566103645268,"(231,)","(231,)",0.34867801331954545,0.945989285294726,,27.754013703605537,32.28490895348038,0.6,5.0,"(441,)"
1841,0.995288692599266,0.9951133459733648,0.9955187866253017,"(157,)","(157,)",-0.049529501330575224,0.945989285294726,,101.60530597801754,148.54262431936684,0.6,5.0,"(441,)"
1842,0.995288692599266,0.9951133459733648,0.9955187866253017,"(157,)","(157,)",-0.049529501330575224,0.945989285294726,,101.75927430301763,148.82808603946955,0.0,0.6,"(61,)"
1843,0.995288692599266,0.9951133459733648,0.9955187866253017,"(157,)","(157,)",-0.049529501330575224,0.945989285294726,,101.69643938602903,148.83994987992062,-0.6,0.0,"(61,)"
1844,0.995288692599266,0.9951133459733648,0.9955187866253017,"(157,)","(157,)",-0.049529501330575224,0.945989285294726,,101.66321406812519,148.76054998615342,-5.0,-0.6,"(441,)"
1846,0.9952349781689458,0.9951133459733648,0.9953566103645268,"(302,)","(302,)",0.34867801331954545,0.945989285294726,,40.573940397351,41.346490066225165,,,
1847,0.9952349781689458,0.9951133459733648,0.9953566103645268,"(302,)","(302,)",0.34867801331954545,0.945989285294726,,27.453079470198674,34.785264900662256,,,
1848,0.9952349781689458,0.9951133459733648,0.9953566103645268,"(302,)","(302,)",0.34867801331954545,0.945989285294726,,26.72827814569537,32.76324503311258,,,
1849,0.9952309237624265,0.9951701076646358,0.995291739860217,"(302,)","(302,)",0.5079610191795934,0.8066166551671841,,26.168079470198677,30.647384105960267,,,
1850,0.9952309237624262,0.9951701076646358,0.995291739860217,"(102,)","(102,)",0.5079610191795934,0.8066166551671841,,26.040000000000006,30.462549019607838,,,
1851,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(102,)","(102,)",0.4581850798483298,0.8066166551671841,,26.011764705882364,30.374705882352945,,,
1852,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(22,)","(22,)",0.4581850798483298,0.8066166551671841,,25.98,30.309999999999988,,,
1853,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(22,)","(22,)",0.4581850798483298,0.8066166551671841,,25.98,30.40272727272727,,,
1854,0.9952410597787248,0.9951701076646358,0.9953120118928138,"(602,)","(602,)",0.4581850798483298,0.8066166551671841,,25.87111295681063,30.15598006644518,,,
1855,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(202,)","(202,)",0.4581850798483298,0.8066166551671841,,25.820000000000004,30.127970297029705,,,
1856,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(102,)","(102,)",0.4581850798483298,0.8066166551671841,,25.76,30.02921568627452,,,
1857,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(22,)","(22,)",0.4581850798483298,0.8066166551671841,,25.76,30.039999999999992,,,
1858,0.9952410597787248,0.9951701076646358,0.9953120118928138,"(42,)","(42,)",0.4581850798483298,0.8066166551671841,,25.759999999999998,30.03,,,
1859,0.9952410597787248,0.9951701076646358,0.9953120118928138,"(42,)","(42,)",0.4581850798483298,0.8066166551671841,,25.759999999999998,30.040000000000003,,,
1860,0.9952410597787249,0.9951701076646358,0.9953120118928138,"(202,)","(202,)",0.4581850798483298,0.8066166551671841,,25.76,29.98841584158416,,,
1861,0.9952410597787248,0.9951701076646358,0.9953120118928138,"(42,)","(42,)",0.4581850798483298,0.8066166551671841,,25.759999999999998,29.970000000000002,,,
1862,0.9952613318113217,0.9951295635994422,0.9953931000232012,"(122,)","(122,)",0.25908132252326804,0.906168533829715,,25.741803278688515,29.948196721311483,,,
1863,0.9952248421526474,0.9951538900385584,0.9952957942667363,"(602,)","(602,)",0.4980058313133408,0.846437406632196,,26.039235880398667,30.642358803986713,,,
1864,0.9952248421526474,0.9951133459733648,0.9953363383319298,"(402,)","(402,)",0.39845395265080996,0.945989285294726,,25.854726368159206,30.19465174129353,,,
1865,0.9952349781689458,0.9951336180059616,0.9953363383319298,"(202,)","(202,)",0.39845395265080996,0.8962133459634615,,25.80574257425742,30.128910891089106,,,
1866,0.9952349781689458,0.9951336180059616,0.9953363383319298,"(202,)","(202,)",0.39845395265080996,0.8962133459634615,,25.778415841584156,30.112326732673267,,,
1867,0.9952349781689458,0.9951336180059616,0.9953363383319298,"(102,)","(102,)",0.39845395265080996,0.8962133459634615,,25.76,30.006764705882343,,,
1868,0.9952349781689458,0.9951336180059616,0.9953363383319298,"(102,)","(102,)",0.39845395265080996,0.8962133459634615,,25.749999999999996,29.999215686274507,,,
1869,0.9952349781689458,0.9951336180059616,0.9953363383319298,"(102,)","(102,)",0.39845395265080996,0.8962133459634615,,25.729999999999983,30.06421568627452,,,
1870,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.721144278606964,29.95905472636816,,,
1871,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.705373134328365,29.9481592039801,,,
1872,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.68835820895522,29.905621890547266,,,
1873,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.666815920398008,29.884825870646768,,,
1874,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.650049751243778,29.854776119402985,,,
1875,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.619999999999994,29.804875621890552,,,
1876,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.61482587064676,29.827711442786075,,,
1877,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.579850746268647,29.816666666666666,,,
1878,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.57,29.778756218905478,,,
1879,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.552678571428572,29.77937500000001,,,
1880,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.54532338308458,29.725273631840803,,,
1881,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.544079601990056,29.71457711442786,,,
1882,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.546567164179102,29.68487562189055,,,
1883,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.53706467661692,29.720845771144283,,,
1884,0.9951133459733648,0.9950322578429774,0.9951944341037521,"(201,)","(201,)",0.7468855279696661,1.1450930426197858,,25.529999999999998,29.673482587064672,,,
1885,1.0350395120078806,1.0349422062514158,1.0351368177643454,"(151,)","(151,)",0.44624871192885296,0.9240977295089976,,25.502656130445114,29.76981530830321,0.0,2.5,"(251,)"
1886,0.9454995829028742,0.945418494772487,0.9455806710332619,"(151,)","(151,)",0.35115448838607466,0.7493620030361944,,25.522527373947916,29.84518086594021,0.0,2.5,"(251,)"
1888,0.8957236435716095,0.8956425554412218,0.8958047317019968,"(151,)","(151,)",0.35363096345260286,0.7518384781027235,,25.610178359410043,29.959602121316063,0.0,2.5,"(251,)"
1889,0.24875806446074436,0.24867697633035696,0.2488391525911317,"(151,)","(151,)",0.08716950332988636,0.48537701798000704,,25.53750713009684,29.820561318832855,0.0,2.5,"(251,)"
1890,-0.00010136016298417025,-0.6969645108006954,0.696761790474727,"(151,)","(151,)",0.21420904572492283,0.2835503475877287,,25.912715231788084,30.186821192052985,,,
1891,-0.00020272032596836402,-0.6970658709636794,0.6966604303117427,"(151,)","(151,)",0.4630887423812477,0.5324300442440536,,25.77046357615895,29.989536423841056,,,
